domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
fichaje,,PUT,"/api/fichaje/absences/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeAusencias.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,PUT,"/api/fichaje/absences/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeVacaciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/absences",artifacts/piccolo-tpv/src/pages/fichaje/FichajeAusencias.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/absences",artifacts/piccolo-tpv/src/pages/fichaje/FichajeAusencias.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/absences",artifacts/piccolo-tpv/src/pages/fichaje/FichajeVacaciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/absences",artifacts/piccolo-tpv/src/pages/fichaje/FichajeVacaciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/audit",artifacts/piccolo-tpv/src/pages/fichaje/FichajeAuditoria.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/import/anviz",artifacts/piccolo-tpv/src/pages/fichaje/FichajeImportarAnviz.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/import/history",artifacts/piccolo-tpv/src/pages/fichaje/FichajeImportar.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/import/history",artifacts/piccolo-tpv/src/pages/fichaje/FichajeImportarAnviz.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/import",artifacts/piccolo-tpv/src/pages/fichaje/FichajeImportar.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/me",artifacts/piccolo-tpv/src/pages/fichaje/FichajePortalEmpleado.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/nfc/cards/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeEmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/nfc/cards/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeEmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/nfc/cards",artifacts/piccolo-tpv/src/pages/fichaje/FichajeEmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/public/clock-status",artifacts/piccolo-tpv/src/pages/fichaje/FichajeReloj.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/public/clock",artifacts/piccolo-tpv/src/pages/fichaje/FichajeReloj.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/public/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeReloj.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/public/my-status/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeReloj.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,PUT,"/api/fichaje/records/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeCorrecciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/records/",artifacts/piccolo-tpv/src/pages/fichaje/FichajePausas.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/records/manual",artifacts/piccolo-tpv/src/pages/fichaje/FichajeRegistros.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/records/today",artifacts/piccolo-tpv/src/pages/fichaje/FichajePanelDiario.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/records",artifacts/piccolo-tpv/src/pages/fichaje/FichajeCorrecciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
