domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
inventory-purchasing,useGetAdminSuppliersId,GET,"/api/admin/suppliers/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/suppliers",artifacts/piccolo-tpv/src/pages/facturas-proveedor.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/suppliers",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/suppliers",artifacts/piccolo-tpv/src/pages/proveedores.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/suppliers",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useSimulatePrice,POST,"/api/admin/suppliers",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
online-orders,,POST,"/api/online-orders/",artifacts/piccolo-tpv/src/pages/delivery.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
orders,useGetDashboardSummary,GET,"/api/dashboard/summary",lib/api-client-react/src/generated/api.ts,documented,consolidated-hook-legacy,exclude,manual-hook
orders,useGetKdsTasks,GET,"/api/kds/${zone}",lib/api-client-react/src/generated/api.ts,documented,consolidated-hook-legacy,exclude,manual-hook
orders,useSendOrder,POST,"/api/kds/${zone}",lib/api-client-react/src/generated/api.ts,documented,consolidated-hook-legacy,exclude,manual-hook
orders,useGetUnreadNotifications,GET,"/api/notifications/unread",lib/api-client-react/src/generated/api.ts,documented,consolidated-hook-legacy,exclude,manual-hook
orders,useUpdateOrderItemDetails,PATCH,"/api/notifications/unread",lib/api-client-react/src/generated/api.ts,documented,consolidated-hook-legacy,exclude,manual-hook
orders,,POST,"/api/orders/",artifacts/piccolo-tpv/src/pages/delivery.tsx,missing,consolidated-domain-http-debt,migrate-hooks-not-contract,direct-api-client
orders,,POST,"/api/orders/",artifacts/piccolo-tpv/src/pages/payment.tsx,missing,consolidated-domain-http-debt,migrate-hooks-not-contract,direct-api-client
